line,label
void UserSelectionScreen::FillMultiProfileUserPrefs(,0
base::MessageLoopProxy* ProxyChannelDelegate::GetIPCMessageLoop() {,0
return RenderThread::Get()->GetIOMessageLoopProxy().get();,0
for (int i = 0; i < at->max_val; i++) {,0
if (args.Length() < 2),0
"void CheckFakeData(uint8* audio_data, int frames_written,",0
double playback_rate) {,0
size_t length =,0
(frames_written * algorithm_.bytes_per_frame()),0
/ algorithm_.bytes_per_channel();,0
switch (algorithm_.bytes_per_channel()) {,0
case 4:,0
"DoCheckFakeData<int32>(audio_data, length);",0
break;,0
case 2:,0
"DoCheckFakeData<int16>(audio_data, length);",0
case 1:,0
"DoCheckFakeData<uint8>(audio_data, length);",0
default:,0
"NOTREACHED() << ""Unsupported audio bit depth in crossfade."";",0
q = r->glyph_data.bits.data + r->pos;,0
void VarianceTest<VarianceFunctionType>::OneQuarterTest() {,0
const int half = block_size_ / 2;,0
"memset(ref_, 255, half);",0
unsigned int var;,0
HostCache::HostCache(size_t max_entries),0
std::string SanitizeEndpoint(const std::string& value) {,0
if (value.find('&') != std::string::npos,0
|| value.find('?') != std::string::npos),0
return std::string();,0
return value;,0
global_data->instance_name);,0
title->SetElideBehavior(gfx::FADE_TAIL);,0
auto* title_ptr = AddChildView(std::move(title));,0
struct inet_sock *inet = inet_sk(sk);,0
struct {,0
struct ip_options	opt;,0
char			data[40];,0
if (ipc.opt->srr),0
"/* NULL selector is not valid for TR, CS and SS (except for long mode) *",0
if ((seg == VCPU_SREG_CS,0
|| (seg == VCPU_SREG_SS,0
&& (ctxt->mode != X86EMUL_MODE_PROT64 || rpl != cpl)),0
|| seg == VCPU_SREG_TR),0
&& null_selector),0
if (qemu_in_coroutine()) {,0
/* XXX figure out if we can create a variant on,0
* qio_channel_yield() that works with AIO contexts,0
* and consider using that in this branch *,0
qemu_coroutine_yield();,0
} else if (done) {,0
/* XXX this is needed by nbd_reply_ready.  *,0
"qio_channel_wait(ioc,",0
auto chrome_callback = base::Bind(,0
"&CoordinatorImpl::OnChromeMemoryDumpResponse, base::Unretained(this));",0
"auto os_callback = base::Bind(&CoordinatorImpl::OnOSMemoryDumpResponse,",0
"base::BindOnce(&CoordinatorImpl::OnQueuedRequestTimedOut,",0
"strip_path_from_mapped_files,",0
"base::BindRepeating(&CoordinatorImpl::OnDumpProcessesForTracing,",0
"base::BindOnce(&CoordinatorImpl::OnHeapDumpTimeOut,",0
Track::Track(,0
"Segment* pSegment,",0
"long long element_start,",0
long long element_size) :,0
"m_pSegment(pSegment),",0
"m_element_start(element_start),",0
"m_element_size(element_size),",0
"content_encoding_entries_(NULL),",0
content_encoding_entries_end_(NULL),0
int hdr_delta;,0
sk_inet = inet_sk(sk);,0
opt = sk_inet->opt;,0
void PrintPreviewUI::OnPrintPreviewRequest(int request_id) {,0
void PlatformSensorFusion::Create(,0
const PlatformSensorProviderBase::CreateSensorCallback& callback) {,0
const std::string& heuristic_xml) {,0
"form_structures_.get(),",0
(transform_info[i].valid_chunks & chunks) != 0) &&,0
if (url.SchemeIs(kChromeUIScheme)),0
namespace_stack_.pop_back();,0
if ((namespace_stack_.back() == SVG && TokenExitsSVG(token)) ||,0
namespace_stack_.push_back(HTML);,0
"if (namesz == 4 && strcmp((char *)&nbuf[noff], ""GNU"") == 0 &&",0
BrowserView* browser_view) {,0
void MessageLoop::RunTask(PendingTask* pending_task) {,0
OMX_BUFFERHEADERTYPE *buffer =,0
for ( ; GetNextImageInList(p) != (Image *) NULL; p=GetNextImageInList(p)),0
case IPOPT_TS:,0
if (args.Length() != 2),0
if (ndo->ndo_vflag),0
PassRefPtr<RTCSessionDescription> RTCPeerConnection::localDescription(ExceptionCode& ec),0
if (m_readyState == ReadyStateClosing || m_readyState == ReadyStateClosed) {,0
ec = INVALID_STATE_ERR;,0
return 0;,0
RefPtr<RTCSessionDescriptionDescriptor> descriptor = m_peerHandler->localDescription();,0
if (!descriptor),0
RefPtr<RTCSessionDescription> desc = RTCSessionDescription::create(descriptor.release());,0
return desc.release();,0
DynamicMetadataProvider::DynamicMetadataProvider(const DOMElement* e),0
if (m_minCacheDuration > m_maxCacheDuration) {,0
dec_seq_params_t *ps_seq = NULL;,0
if (this == NULL) {,0
if (this->sd < 0) {,0
addr.sin6_port = htons(port);,0
if (g_options.only_desired_port == 1),0
"if (listen(this->sd, HTTP_MAX_PENDING_CONNS) < 0) {",0
"asn1_write(data, s, strlen(s));",0
/* Changed in libpng-1.2.1 to allocate PNG_MAX_PALETTE_LENGTH instead,0
"* of num_palette entries, in case of an invalid PNG file that has",0
void *result;,0
"static inline struct sem_array *sem_lock_check(struct ipc_namespace *ns,",0
int id),0
"struct kern_ipc_perm *ipcp = ipc_lock_check(&sem_ids(ns), id);",0
if (IS_ERR(ipcp)),0
return ERR_CAST(ipcp);,0
"return container_of(ipcp, struct sem_array, sem_perm);",0
"static int decode_getacl(struct xdr_stream *xdr, struct rpc_rqst *req,",0
if (attrlen > recvd) {,0
"dprintk(""NFS: server cheating in getattr""",0
"xdr_read_pages(xdr, attrlen);",0
long Cluster::CreateBlockGroup(,0
"long long start_offset,",0
"long long size,",0
long long discard_padding),0
assert(m_entries);,0
assert(m_entries_size > 0);,0
assert(m_entries_count >= 0);,0
IMkvReader* const pReader = m_pSegment->m_pReader;,0
long long pos = start_offset;,0
const long long stop = start_offset + size;,0
long long prev = 1;  //nonce,0
long long next = 0;  //nonce,0
"long long duration = -1;  //really, this is unsigned",0
long long bpos = -1;,0
long long bsize = -1;,0
while (pos < stop),0
long len;,0
"const long long id = ReadUInt(pReader, pos, len);",0
assert(id >= 0);  //TODO,0
assert((pos + len) <= stop);,0
pos += len;  //consume ID,0
"const long long size = ReadUInt(pReader, pos, len);",0
assert(size >= 0);  //TODO,0
pos += len;  //consume size,0
if (id == 0x21) //Block ID,0
if (bpos < 0) //Block ID,0
bpos = pos;,0
bsize = size;,0
else if (id == 0x1B)  //Duration ID,0
assert(size <= 8);,0
"duration = UnserializeUInt(pReader, pos, size);",0
assert(duration >= 0);  //TODO,0
else if (id == 0x7B)  //ReferenceBlock,0
const long size_ = static_cast<long>(size);,0
long long time;,0
"long status = UnserializeInt(pReader, pos, size_, time);",0
assert(status == 0);,0
if (status != 0),0
return -1;,0
if (time <= 0)  //see note above,0
prev = time;,0
else  //weird,0
next = time;,0
pos += size;  //consume payload,0
"snprintf(rblkcipher.type, CRYPTO_MAX_ALG_NAME, ""%s"", ""ablkcipher"");",0
"snprintf(rblkcipher.geniv, CRYPTO_MAX_ALG_NAME, ""%s"",",0
if (pref.type == SessionStartupPref::LAST &&,0
"pgoff = vma_hugecache_offset(h, vma, address);",0
if (initialContextToken) {,0
"struct sock *sk,",0
"route_id_,",0
void mark_files_ro(struct super_block *sb),0
struct file *f;,0
lg_global_lock(&files_lglock);,0
"do_file_list_for_each_entry(sb, f) {",0
if (!file_count(f)),0
continue;,0
if (!(f->f_mode & FMODE_WRITE)),0
spin_lock(&f->f_lock);,0
f->f_mode &= ~FMODE_WRITE;,0
spin_unlock(&f->f_lock);,0
if (file_check_writeable(f) != 0),0
__mnt_drop_write(f->f_path.mnt);,0
file_release_write(f);,0
} while_file_list_for_each_entry;,0
lg_global_unlock(&files_lglock);,0
const Chapters::Edition* Chapters::GetEdition(int idx) const,0
if (idx < 0),0
if (idx >= m_editions_count),0
if (exec->argumentCount() < 1),0
/* Use a test pixel to check that the output agrees with what we expect -,0
"png_get_valid(dp->read_pp, dp->read_ip, 0xffffffff);",0
int32_t new_height = kHeight - info->frame_counter * 2;,0
if (new_width < 0) new_width = 0;,0
EXPECT(resize_result == PP_OK);,0
glSetCurrentContextPPAPI(info->graphics3d_id);,0
void MigrationTest::SetUpVersion76Database() {,0
sql::Connection connection;,0
ASSERT_TRUE(connection.Open(GetDatabasePath()));,0
ASSERT_TRUE(connection.BeginTransaction());,0
ASSERT_TRUE(connection.Execute(,0
"""CREATE TABLE share_version (id VARCHAR(128) primary key, data INT);""",0
"""INSERT INTO 'share_version' VALUES('nick@chromium.org',76);""",0
"""CREATE TABLE models (model_id BLOB primary key, progress_marker BLOB, in""",0
"""itial_sync_ended BOOLEAN default 0);""",0
"""INSERT INTO 'models' VALUES(X'C2881000',X'0888810218B605',1);""",0
"""CREATE TABLE 'metas'(metahandle bigint primary key ON CONFLICT FAIL,base""",0
"""_version bigint default -1,server_version bigint default 0,mtime big""",0
"""int default 0,server_mtime bigint default 0,ctime bigint default 0,s""",0
"""erver_ctime bigint default 0,server_position_in_parent bigint defaul""",0
"""t 0,local_external_id bigint default 0,id varchar(255) default 'r',p""",0
"""arent_id varchar(255) default 'r',server_parent_id varchar(255) defa""",0
"""ult 'r',prev_id varchar(255) default 'r',next_id varchar(255) defaul""",0
"""t 'r',is_unsynced bit default 0,is_unapplied_update bit default 0,is""",0
"""_del bit default 0,is_dir bit default 0,server_is_dir bit default 0,""",0
"""server_is_del bit default 0,non_unique_name varchar,server_non_uniqu""",0
"""e_name varchar(255),unique_server_tag varchar,unique_client_tag varc""",0
"""har,specifics blob,server_specifics blob);""",0
"""INSERT INTO 'metas' VALUES(1,-1,0,"" LEGACY_PROTO_TIME_VALS(1)",0
""",0,0,'r','r','r','r','r',0,0,0,1,0,0,NULL,NULL,NULL,NULL,X'',X'')""",0
""";""",0
"""INSERT INTO 'metas' VALUES(2,669,669,"" LEGACY_PROTO_TIME_VALS(2)",0
""",-2097152,4,'s_ID_2','s_ID_9""",0
"""','s_ID_9','s_ID_2','s_ID_2',0,0,1,0,0,1,'Deleted Item','Deleted Ite""",0
"""m',NULL,NULL,X'C28810220A16687474703A2F2F7777772E676F6F676C652E636F6""",0
"""D2F12084141534741534741',X'C28810260A17687474703A2F2F7777772E676F6F6""",0
"""76C652E636F6D2F32120B4153414447414447414447');""",0
"""INSERT INTO 'metas' VALUES(4,681,681,"" LEGACY_PROTO_TIME_VALS(4)",0
""",-3145728,3,'s_ID_4','s_ID_9""",0
"""','s_ID_9','s_ID_4','s_ID_4',0,0,1,0,0,1,'Welcome to Chromium','Welc""",0
"""ome to Chromium',NULL,NULL,X'C28810350A31687474703A2F2F7777772E676F6""",0
"""F676C652E636F6D2F6368726F6D652F696E746C2F656E2F77656C636F6D652E68746""",0
"""D6C1200',X'C28810350A31687474703A2F2F7777772E676F6F676C652E636F6D2F6""",0
"""368726F6D652F696E746C2F656E2F77656C636F6D652E68746D6C1200');""",0
"""INSERT INTO 'metas' VALUES(5,677,677,"" LEGACY_PROTO_TIME_VALS(5)",0
""",1048576,7,'s_ID_5','s_ID_9'""",0
""",'s_ID_9','s_ID_5','s_ID_5',0,0,1,0,0,1,'Google','Google',NULL,NULL,""",0
"""X'C28810220A16687474703A2F2F7777772E676F6F676C652E636F6D2F1208414741""",0
"""5347415347',X'C28810220A16687474703A2F2F7777772E676F6F676C652E636F6D""",0
"""2F12084147464447415347');""",0
"""INSERT INTO 'metas' VALUES(6,694,694,"" LEGACY_PROTO_TIME_VALS(6)",0
""",-4194304,6,'s_ID_6','s_ID_9""",0
"""','s_ID_9','r','r',0,0,0,1,1,0,'The Internet','The Internet',NULL,NU""",0
"""LL,X'C2881000',X'C2881000');""",0
"""INSERT INTO 'metas' VALUES(7,663,663,"" LEGACY_PROTO_TIME_VALS(7)",0
""",1048576,0,'s_ID_7','r','r',""",0
"""'r','r',0,0,0,1,1,0,'Google Chrome','Google Chrome','google_chrome',""",0
"""NULL,NULL,NULL);""",0
"""INSERT INTO 'metas' VALUES(8,664,664,"" LEGACY_PROTO_TIME_VALS(8)",0
""",1048576,0,'s_ID_8','s_ID_7'""",0
""",'s_ID_7','r','r',0,0,0,1,1,0,'Bookmarks','Bookmarks','google_chrome""",0
"""_bookmarks',NULL,X'C2881000',X'C2881000');""",0
"""INSERT INTO 'metas' VALUES(9,665,665,"" LEGACY_PROTO_TIME_VALS(9)",0
""",1048576,1,'s_ID_9','s_ID_8'""",0
""",'s_ID_8','r','s_ID_10',0,0,0,1,1,0,'Bookmark Bar','Bookmark Bar','b""",0
"""ookmark_bar',NULL,X'C2881000',X'C2881000');""",0
"""INSERT INTO 'metas' VALUES(10,666,666,"" LEGACY_PROTO_TIME_VALS(10)",0
""",2097152,2,'s_ID_10','s_ID_""",0
"""8','s_ID_8','s_ID_9','r',0,0,0,1,1,0,'Other Bookmarks','Other Bookma""",0
"""rks','other_bookmarks',NULL,X'C2881000',X'C2881000');""",0
"handle_watcher_(FROM_HERE, mojo::SimpleWatcher::ArmingPolicy::AUTOMATIC),",0
inode = d_inode(fh->fh_dentry);,0
if (!IS_POSIXACL(inode) || !inode->i_op->set_acl) {,0
error = -EOPNOTSUPP;,0
goto out_errno;,0
if (error),0
goto out_drop_write;,0
"error = inode->i_op->set_acl(inode, argp->acl_default,",0
return nfserr;,0
chstart = ch;,0
ch += length + 1;  /* find next length ... */,0
if (ch <= chend) {,0
struct rose_facilities_struct facilities;,0
len  = (((skb->data[3] >> 4) & 0x0F) + 1) >> 1;,0
len += (((skb->data[3] >> 0) & 0x0F) + 1) >> 1;,0
"void cJSON_ReplaceItemInArray( cJSON *array, int which, cJSON *newitem )",0
cJSON *c = array->child;,0
while ( c && which > 0 ) {,0
c = c->next;,0
--which;,0
if ( ! c ),0
return;,0
newitem->next = c->next;,0
newitem->prev = c->prev;,0
if ( newitem->next ),0
newitem->next->prev = newitem;,0
if ( c == array->child ),0
array->child = newitem;,0
else,0
newitem->prev->next = newitem;,0
c->next = c->prev = 0;,0
cJSON_Delete( c );,0
"sc_log_hex(ctx, ""ACL data"", file->sec_attr, file->sec_attr_len);",0
trunc:,0
void Vp9Parser::ResetLoopfilter() {,0
loop_filter_.mode_ref_delta_enabled = true;,0
loop_filter_.mode_ref_delta_update = true;,0
"const int8_t default_ref_deltas[] = {1, 0, -1, -1};",0
static_assert(,0
"arraysize(default_ref_deltas) == arraysize(loop_filter_.ref_deltas),",0
"""ref_deltas arrays of incorrect size"");",0
for (size_t i = 0; i < arraysize(loop_filter_.ref_deltas); ++i),0
loop_filter_.ref_deltas[i] = default_ref_deltas[i];,0
"memset(loop_filter_.mode_deltas, 0, sizeof(loop_filter_.mode_deltas));",0
const char* GetSRTDownloadURL() {,0
if (!full_path.empty()) {,0
target_path_ = full_path;,0
SetFullPath(full_path);,0
if (delegate_->ShouldOpenDownload(this)),0
Completed();,0
BrowserThread::PostTask(,0
"BrowserThread::FILE, FROM_HERE,",0
"base::Bind(&DownloadFileManager::CompleteDownload,",0
"file_manager, GetGlobalId()));",0
unsigned int h = 0;,0
const char* data = (const char*)k;,0
struct task_struct *task = current;,0
const String&) {,0
if (level != SOL_PPPOL2TP),0
out:,0
FT_Memory  memory = stream->memory;,0
if (t->stamp_path),0
* depending on if MOD equals 1.  */,0
"void hugetlb_put_quota(struct address_space *mapping, long delta)",0
struct hugetlbfs_sb_info *sbinfo = HUGETLBFS_SB(mapping->host->i_sb);,0
if (sbinfo->free_blocks > -1) {,0
spin_lock(&sbinfo->stat_lock);,0
sbinfo->free_blocks += delta;,0
spin_unlock(&sbinfo->stat_lock);,0
Document* doc = this->GetDocument();,0
"AutoReset<bool> animating(&in_animation_frame_, true);",0
pending_raf_ = false;,0
int64 GetOriginalListPrefValue(size_t index) {,0
DecreaseNumRefs();,0
if (data_->header.num_bytes > max_size_ && !read_only_ &&,0
(up_ticks_ > kTrimDelay || user_flags_ & kNoRandom)),0
char                            *prime_arg;,0
"gss_buffer_desc                 client_name,",0
"gss_release_buffer(&minor_stat, &service_name);",0
"void PrinterQuery::GetSettings(GetSettingsAskParam ask_user_for_settings,",0
"is_print_dialog_box_shown_,",0
if (params.enable_ipc_proxy) {,0
IPC::ChannelHandle channel_handle =,0
"IPC::Channel::GenerateVerifiedChannelID(""nacl"");",0
scoped_refptr<NaClIPCAdapter> ipc_adapter(new NaClIPCAdapter(,0
"channel_handle, io_thread_.message_loop_proxy()));",0
args->initial_ipc_desc = ipc_adapter.get()->MakeNaClDesc();,0
#if defined(OS_POSIX),0
channel_handle.socket = base::FileDescriptor(,0
"ipc_adapter.get()->TakeClientFileDescriptor(), true);",0
#endif,0
if (!Send(new NaClProcessHostMsg_PpapiChannelCreated(channel_handle))),0
"LOG(ERROR) << ""Failed to send IPC channel handle to renderer."";",0
"void svc_rdma_xdr_encode_array_chunk(struct rpcrdma_write_array *ary,",0
"int chunk_no,",0
"__be32 rs_handle,",0
"__be64 rs_offset,",0
u32 write_len),0
struct rpcrdma_segment *seg = &ary->wc_array[chunk_no].wc_target;,0
seg->rs_handle = rs_handle;,0
seg->rs_offset = rs_offset;,0
seg->rs_length = cpu_to_be32(write_len);,0
void PlatformSensor::UpdateSharedBuffer(const SensorReading& reading) {,0
ReadingBuffer* buffer =,0
void ExtensionTtsPlatformImpl::clear_error() {,0
error_ = std::string();,0
bool GLES2DecoderImpl::GetUniformSetup(,0
"GLuint program_id, GLint fake_location,",0
"uint32 shm_id, uint32 shm_offset,",0
"error::Error* error, GLint* real_location,",0
"v8::Local<v8::Value> entriesValue = callDebuggerMethod(""getCollectionEntries"", 1, argv).ToLocalChecked();",0
if (!entriesValue->IsArray()),0
return v8::Undefined(m_isolate);,0
v8::Local<v8::Array> entries = entriesValue.As<v8::Array>();,0
RouteFunction(,0
long BlockEntry::GetIndex() const,0
return m_index;,0
RETURN_FALSE;,0
builder.SetIsDirectional(GetSelectionInDOMTree().IsDirectional());,0
if ((ctxt == NULL) || (ctxt->context == NULL)) return(NULL);,0
if ((ctxt->context->node->type == XML_ATTRIBUTE_NODE) ||,0
(ctxt->context->node->type == XML_NAMESPACE_DECL)),0
return(NULL);,0
if (cur != NULL) {,0
if ((cur->type == XML_ATTRIBUTE_NODE) ||,0
if (cur->children != NULL),0
if (args.Length() < 1),0
struct range		*range;,0
struct evbuffer		*evb = NULL;,0
"int			 code = 500, fd = -1, i, nranges, ret;",0
"media = media_find_config(env, srv_conf, path);",0
if ((evb = evbuffer_new()) == NULL) {,0
"errstr = ""failed to allocate file buffer"";",0
goto abort;,0
content_length = range->end - range->start + 1;,0
"if (buffer_add_range(fd, evb, range) == 0)",0
} else {,0
content_length = 0;,0
boundary = arc4random();,0
/* Generate a multipart payload of byteranges *,0
while (nranges--) {,0
"if ((i = evbuffer_add_printf(evb, ""\r\n--%ud\r\n"",",0
boundary)) == -1),0
content_length += i;,0
"if ((i = evbuffer_add_printf(evb,",0
"""Content-Type: %s/%s\r\n"",",0
"media->media_type, media->media_subtype)) == -1)",0
long long Cluster::GetLastTime() const,0
const BlockEntry* pEntry;,0
const long status = GetLast(pEntry);,0
if (status < 0)  //error,0
return status;,0
if (pEntry == NULL)  //empty cluster,0
return GetTime();,0
const Block* const pBlock = pEntry->GetBlock();,0
assert(pBlock);,0
return pBlock->GetTime(this);,0
VaapiVideoDecodeAccelerator::VaapiVP9Accelerator::CreateVP9Picture() {,0
scoped_refptr<VaapiDecodeSurface> va_surface = vaapi_dec_->CreateSurface();,0
if (!va_surface),0
return nullptr;,0
return new VaapiVP9Picture(va_surface);,0
"However, it only uses idct_put */",0
PropertyFilter filter) {,0
"Handle<Object> key(keys->get(i), isolate);",0
if (get_entries) {,0
pos += size;,0
"p = r_buf_get_at (binfile->buf, c->interfaces_offset, NULL);",0
"uint32_t nGroups = readU32(data, kNGroupsOffset);",0
"const IPC::ChannelHandle& channel,",0
base::ProcessHandle renderer_process_for_gpu;,0
if (gpu_process_for_browser != 0) {,0
#if defined(OS_WIN),0
"DuplicateHandle(base::GetCurrentProcessHandle(),",0
"peer_handle(),",0
"gpu_process_for_browser,",0
"&renderer_process_for_gpu,",0
"PROCESS_DUP_HANDLE,",0
"FALSE,",0
0);,0
#else,0
renderer_process_for_gpu = peer_handle();,0
renderer_process_for_gpu = 0;,0
GpuHostMsg_EstablishGpuChannel::WriteReplyParams(,0
"error = do_tmpfile(dfd, pathname, nd, flags, op, file, &opened);",0
ASSERT(m_textCharacters >= text.characters());,0
"atomic_add(refresh, &event->event_limit);",0
void MediaControlsProgressView::OnGestureEvent(ui::GestureEvent* event) {,0
gfx::Point location_in_bar(event->location());,0
"ConvertPointToTarget(this, this->progress_bar_, &location_in_bar);",0
if (event->type() != ui::ET_GESTURE_TAP ||,0
UWORD32 u4_total_coeff = u4_total_coeff_trail_one >> 16;,0
"if (! __sk_dst_get(sk) || __sk_dst_check(sk, 0))",0
"RT_CONN_FLAGS(sk), sk->sk_bound_dev_if);",0
if (!IS_ERR(rt)),0
OnUpdate(,0
os_ptr op = osp;,0
"check_write_type(*op, t_device);",0
if (dev->LockSafetyParams) {         /* do additional checking if locked  *,0
