nohup: 忽略输入
[train] device = cuda
[bigvul] split=train  loaded=150908  vuln=8736  benign=142172  skipped=0
[bigvul] split=val    loaded= 18864  vuln=1109  benign=17755  skipped=0
Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]Loading weights: 100%|██████████| 199/199 [00:00<00:00, 30359.24it/s]
[train] ep=0 step=   0  L_total=1.0933  L_ce=0.6648  L_trust=0.4286 (iou=0.000 syn=0.636 pdg=0.857)
[train] ep=0 step=  50  L_total=0.4130  L_ce=0.0077  L_trust=0.4053 (iou=0.000 syn=0.615 pdg=0.811)
[train] ep=0 step= 100  L_total=1.3864  L_ce=0.9796  L_trust=0.4068 (iou=0.933 syn=0.630 pdg=0.814)
[train] ep=0 step= 150  L_total=0.4598  L_ce=0.0069  L_trust=0.4529 (iou=0.000 syn=0.623 pdg=0.906)
[train] ep=0 step= 200  L_total=0.3469  L_ce=0.0327  L_trust=0.3142 (iou=0.000 syn=0.611 pdg=0.628)
[train] ep=0 step= 250  L_total=0.8854  L_ce=0.3854  L_trust=0.5000 (iou=1.000 syn=0.606 pdg=1.000)
[train] ep=0 step= 300  L_total=0.3925  L_ce=0.0057  L_trust=0.3869 (iou=0.000 syn=0.612 pdg=0.774)
[train] ep=0 step= 350  L_total=0.4762  L_ce=0.0050  L_trust=0.4712 (iou=0.000 syn=0.640 pdg=0.942)
[train] ep=0 step= 400  L_total=0.3872  L_ce=0.0119  L_trust=0.3753 (iou=0.000 syn=0.609 pdg=0.751)
[train] ep=0 step= 450  L_total=0.3764  L_ce=0.0074  L_trust=0.3690 (iou=0.000 syn=0.602 pdg=0.738)
[train] ep=0 step= 500  L_total=0.2707  L_ce=0.0100  L_trust=0.2607 (iou=0.000 syn=0.508 pdg=0.521)
[train] ep=0 step= 550  L_total=0.4346  L_ce=0.0093  L_trust=0.4253 (iou=0.000 syn=0.626 pdg=0.851)
[train] ep=0 step= 600  L_total=0.2861  L_ce=0.0091  L_trust=0.2770 (iou=0.945 syn=0.560 pdg=0.554)
[train] ep=0 step= 650  L_total=0.4511  L_ce=0.0036  L_trust=0.4475 (iou=0.000 syn=0.633 pdg=0.895)
[train] ep=0 step= 700  L_total=0.4053  L_ce=0.0192  L_trust=0.3862 (iou=0.000 syn=0.608 pdg=0.772)
[train] ep=0 step= 750  L_total=0.3977  L_ce=0.0048  L_trust=0.3928 (iou=0.000 syn=0.537 pdg=0.786)
[train] ep=0 step= 800  L_total=1.0377  L_ce=0.6556  L_trust=0.3822 (iou=0.000 syn=0.602 pdg=0.764)
[train] ep=0 step= 850  L_total=0.3181  L_ce=0.0056  L_trust=0.3125 (iou=0.000 syn=0.611 pdg=0.625)
[train] ep=0 step= 900  L_total=0.3895  L_ce=0.0145  L_trust=0.3750 (iou=0.000 syn=0.537 pdg=0.750)
[train] ep=0 step= 950  L_total=0.3166  L_ce=0.0040  L_trust=0.3125 (iou=0.000 syn=0.610 pdg=0.625)
[train] ep=0 step=1000  L_total=0.4459  L_ce=0.0074  L_trust=0.4385 (iou=0.000 syn=0.600 pdg=0.877)
[train] ep=0 step=1050  L_total=0.9716  L_ce=0.5341  L_trust=0.4375 (iou=0.997 syn=0.645 pdg=0.875)
[train] ep=0 step=1100  L_total=0.3205  L_ce=0.0080  L_trust=0.3125 (iou=0.000 syn=0.644 pdg=0.625)
[train] ep=0 step=1150  L_total=0.4424  L_ce=0.0049  L_trust=0.4375 (iou=0.000 syn=0.676 pdg=0.875)
[train] ep=0 step=1200  L_total=0.5038  L_ce=0.0038  L_trust=0.5000 (iou=0.000 syn=0.668 pdg=1.000)
