nohup: 忽略输入
[train] device = cuda
[bigvul] split=train  loaded=150908  vuln=8736  benign=142172  skipped=0
[bigvul] split=val    loaded= 18864  vuln=1109  benign=17755  skipped=0
Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]Loading weights: 100%|██████████| 199/199 [00:00<00:00, 30046.67it/s]
[train] ep=0 step=   0  L_total=0.6079  L_ce=0.6079  L_trust=0.7395 (iou=0.000 syn=0.652 pdg=0.827)
[train] ep=0 step=  50  L_total=0.0139  L_ce=0.0139  L_trust=0.6267 (iou=0.000 syn=0.649 pdg=0.605)
[train] ep=0 step= 100  L_total=0.6725  L_ce=0.6725  L_trust=1.5748 (iou=0.818 syn=0.649 pdg=0.864)
[train] ep=0 step= 150  L_total=0.3060  L_ce=0.3060  L_trust=1.6866 (iou=1.000 syn=0.631 pdg=0.743)
[train] ep=0 step= 200  L_total=0.5150  L_ce=0.5150  L_trust=0.7523 (iou=0.000 syn=0.643 pdg=0.862)
[train] ep=0 step= 250  L_total=0.0151  L_ce=0.0151  L_trust=0.7053 (iou=0.000 syn=0.659 pdg=0.751)
[train] ep=0 step= 300  L_total=0.0218  L_ce=0.0218  L_trust=0.6847 (iou=0.000 syn=0.639 pdg=0.731)
[train] ep=0 step= 350  L_total=0.0046  L_ce=0.0046  L_trust=0.7680 (iou=0.000 syn=0.661 pdg=0.875)
[train] ep=0 step= 400  L_total=0.0083  L_ce=0.0083  L_trust=0.7192 (iou=0.000 syn=0.669 pdg=0.769)
[train] ep=0 step= 450  L_total=0.0058  L_ce=0.0058  L_trust=0.7694 (iou=0.000 syn=0.658 pdg=0.880)
[train] ep=0 step= 500  L_total=0.0034  L_ce=0.0034  L_trust=0.7169 (iou=0.000 syn=0.642 pdg=0.792)
[train] ep=0 step= 550  L_total=0.0121  L_ce=0.0121  L_trust=0.6418 (iou=0.000 syn=0.649 pdg=0.635)
[train] ep=0 step= 600  L_total=0.0049  L_ce=0.0049  L_trust=0.7950 (iou=0.000 syn=0.655 pdg=0.935)
[train] ep=0 step= 650  L_total=0.0069  L_ce=0.0069  L_trust=0.8377 (iou=0.000 syn=0.675 pdg=1.000)
[train] ep=0 step= 700  L_total=0.0083  L_ce=0.0083  L_trust=0.7566 (iou=0.000 syn=0.642 pdg=0.871)
[train] ep=0 step= 750  L_total=1.0965  L_ce=1.0965  L_trust=1.3791 (iou=0.639 syn=0.633 pdg=0.848)
[train] ep=0 step= 800  L_total=0.0062  L_ce=0.0062  L_trust=0.7013 (iou=0.000 syn=0.653 pdg=0.750)
[train] ep=0 step= 850  L_total=0.0069  L_ce=0.0069  L_trust=0.7741 (iou=0.000 syn=0.668 pdg=0.880)
[train] ep=0 step= 900  L_total=0.0108  L_ce=0.0108  L_trust=0.6211 (iou=0.000 syn=0.666 pdg=0.576)
[train] ep=0 step= 950  L_total=0.5644  L_ce=0.5644  L_trust=0.7910 (iou=0.000 syn=0.651 pdg=0.931)
[train] ep=0 step=1000  L_total=0.0050  L_ce=0.0050  L_trust=0.8109 (iou=0.000 syn=0.650 pdg=0.972)
