nohup: 忽略输入
[train] device = cuda
[bigvul] split=train  loaded=150908  vuln=8736  benign=142172  skipped=0
[bigvul] split=val    loaded= 18864  vuln=1109  benign=17755  skipped=0
Loading weights:   0%|          | 0/199 [00:00<?, ?it/s]Loading weights: 100%|██████████| 199/199 [00:00<00:00, 6314.05it/s]
[train] ep=0 step=   0  L_total=1.5714  L_ce=0.8218  L_trust=0.7496 (iou=0.000 syn=0.615 pdg=0.885)
[train] ep=0 step=  50  L_total=0.7199  L_ce=0.0034  L_trust=0.7165 (iou=0.000 syn=0.615 pdg=0.818)
[train] ep=0 step= 100  L_total=2.8844  L_ce=1.2132  L_trust=1.6712 (iou=0.920 syn=0.628 pdg=0.874)
[train] ep=0 step= 150  L_total=0.7470  L_ce=0.0032  L_trust=0.7438 (iou=0.000 syn=0.619 pdg=0.869)
[train] ep=0 step= 200  L_total=0.6472  L_ce=0.0136  L_trust=0.6337 (iou=0.000 syn=0.628 pdg=0.639)
[train] ep=0 step= 250  L_total=2.2669  L_ce=0.4618  L_trust=1.8051 (iou=1.000 syn=0.610 pdg=1.000)
[train] ep=0 step= 300  L_total=0.7246  L_ce=0.0084  L_trust=0.7162 (iou=0.000 syn=0.617 pdg=0.815)
[train] ep=0 step= 350  L_total=0.7731  L_ce=0.0122  L_trust=0.7610 (iou=0.000 syn=0.615 pdg=0.907)
[train] ep=0 step= 400  L_total=0.7019  L_ce=0.0257  L_trust=0.6762 (iou=0.000 syn=0.602 pdg=0.750)
[train] ep=0 step= 450  L_total=0.6941  L_ce=0.0164  L_trust=0.6777 (iou=0.000 syn=0.608 pdg=0.747)
[train] ep=0 step= 500  L_total=0.6533  L_ce=0.0274  L_trust=0.6258 (iou=0.000 syn=0.594 pdg=0.658)
[train] ep=0 step= 550  L_total=0.7515  L_ce=0.0227  L_trust=0.7288 (iou=0.000 syn=0.602 pdg=0.856)
[train] ep=0 step= 600  L_total=1.6363  L_ce=0.1135  L_trust=1.5228 (iou=0.912 syn=0.596 pdg=0.626)
[train] ep=0 step= 650  L_total=0.7445  L_ce=0.0009  L_trust=0.7435 (iou=0.000 syn=0.605 pdg=0.882)
[train] ep=0 step= 700  L_total=0.7333  L_ce=0.0032  L_trust=0.7301 (iou=0.000 syn=0.601 pdg=0.859)
[train] ep=0 step= 750  L_total=0.7099  L_ce=0.0016  L_trust=0.7083 (iou=0.000 syn=0.542 pdg=0.874)
[train] ep=0 step= 800  L_total=1.3313  L_ce=0.6479  L_trust=0.6834 (iou=0.000 syn=0.600 pdg=0.767)
[train] ep=0 step= 850  L_total=0.6273  L_ce=0.0018  L_trust=0.6255 (iou=0.000 syn=0.601 pdg=0.651)
[train] ep=0 step= 900  L_total=0.6712  L_ce=0.0088  L_trust=0.6624 (iou=0.000 syn=0.562 pdg=0.763)
[train] ep=0 step= 950  L_total=0.6219  L_ce=0.0029  L_trust=0.6190 (iou=0.000 syn=0.600 pdg=0.638)
[train] ep=0 step=1000  L_total=0.8374  L_ce=0.0573  L_trust=0.7801 (iou=0.000 syn=0.600 pdg=0.960)
[train] ep=0 step=1050  L_total=1.7284  L_ce=0.0073  L_trust=1.7211 (iou=0.983 syn=0.601 pdg=0.875)
[train] ep=0 step=1100  L_total=0.5896  L_ce=0.0035  L_trust=0.5861 (iou=0.000 syn=0.541 pdg=0.631)
[train] ep=0 step=1150  L_total=0.7891  L_ce=0.0032  L_trust=0.7859 (iou=0.000 syn=0.600 pdg=0.971)
[train] ep=0 step=1200  L_total=0.7428  L_ce=0.0052  L_trust=0.7376 (iou=0.000 syn=0.600 pdg=0.875)
[train] ep=0 step=1250  L_total=0.7532  L_ce=0.0156  L_trust=0.7376 (iou=0.000 syn=0.600 pdg=0.875)
